code,name,company,asset_class,fund_type,manager,fee,size_billion,risk_level,theme,style,inception_date
000961,天弘沪深300ETF联接A,天弘基金,宽基指数,指数型,田汉卿,0.15,156.3,3,宽基,大盘均衡,2015-01-01
012345,红利低波增强样例,华夏基金,红利低波,指数增强,量化团队,0.80,28.0,3,红利,价值低波,2018-06-01
511010,国泰上证5年期国债ETF,国泰基金,中短债/纯债,债券型,王玉,0.30,65.0,1,债券,低波动,2013-03-01
020020,短债稳健样例,易方达基金,现金/短债,债券型,固收团队,0.25,80.0,1,债券,现金管理,2019-01-01
518880,华安黄金ETF,华安基金,黄金,商品型,许之彦,0.50,120.0,3,黄金,避险低相关,2013-07-01
007119,华安纳斯达克100指数A,华安基金,海外资产,QDII,倪斌,1.50,50.0,4,海外,海外科技,2019-06-01
110011,易方达优质精选混合,易方达基金,主动权益,混合型,张坤,1.50,345.8,4,消费,大盘价值,2008-06-01
519732,交银新成长混合,交银施罗德基金,主动权益,混合型,王崇,1.50,42.1,4,成长,均衡成长,2014-05-01
006228,中欧医疗健康混合A,中欧基金,行业主题,混合型,葛兰,1.50,72.6,5,医疗,行业成长,2016-09-01
161725,招商中证白酒指数,招商基金,行业主题,指数型,侯昊,0.50,88.2,5,消费,行业指数,2015-05-01
180101,REITs分散配置样例,中金基金,REITs/另类,REITs,基础设施团队,0.60,25.0,3,REITs,现金流资产,2021-06-01
