date,code,nav
2020-01-02,000961,1.004719
2020-01-03,000961,1.003691
2020-01-06,000961,1.007844
2020-01-07,000961,1.004619
2020-01-08,000961,1.003850
2020-01-09,000961,1.004190
2020-01-10,000961,1.005168
2020-01-13,000961,1.008151
2020-01-14,000961,1.015998
2020-01-15,000961,1.016694
2020-01-16,000961,1.025263
2020-01-17,000961,1.020182
2020-01-20,000961,1.018762
2020-01-21,000961,1.020666
2020-01-22,000961,1.023735
2020-01-23,000961,1.025826
2020-01-24,000961,1.032821
2020-01-27,000961,1.036816
2020-01-28,000961,1.046028
2020-01-29,000961,1.052350
2020-01-30,000961,1.051616
2020-01-31,000961,1.057808
2020-02-03,000961,1.057233
2020-02-04,000961,1.060714
2020-02-05,000961,1.064716
2020-02-06,000961,1.068141
2020-02-07,000961,1.075213
2020-02-10,000961,1.035471
2020-02-11,000961,1.037287
2020-02-12,000961,1.045349
2020-02-13,000961,1.048442
2020-02-14,000961,1.050505
2020-02-17,000961,1.049795
2020-02-18,000961,1.055007
2020-02-19,000961,1.058102
2020-02-20,000961,1.066285
2020-02-21,000961,1.067929
2020-02-24,000961,1.076716
2020-02-25,000961,1.085821
2020-02-26,000961,1.096711
2020-02-27,000961,1.101454
2020-02-28,000961,1.111276
2020-03-02,000961,1.117492
2020-03-03,000961,1.126274
2020-03-04,000961,1.137108
2020-03-05,000961,1.134223
2020-03-06,000961,1.146363
2020-03-09,000961,1.152385
2020-03-10,000961,1.158343
2020-03-11,000961,1.166199
2020-03-12,000961,1.165041
2020-03-13,000961,1.169407
2020-03-16,000961,1.181608
2020-03-17,000961,1.186723
2020-03-18,000961,1.185340
2020-03-19,000961,1.192411
2020-03-20,000961,1.205818
2020-03-23,000961,1.210931
2020-03-24,000961,1.213141
2020-03-25,000961,1.217603
2020-03-26,000961,1.224508
2020-03-27,000961,1.227550
2020-03-30,000961,1.226535
2020-03-31,000961,1.226502
2020-04-01,000961,1.225912
2020-04-02,000961,1.225379
2020-04-03,000961,1.228001
2020-04-06,000961,1.231692
2020-04-07,000961,1.241204
2020-04-08,000961,1.248132
2020-04-09,000961,1.251575
2020-04-10,000961,1.259493
2020-04-13,000961,1.272265
2020-04-14,000961,1.276235
2020-04-15,000961,1.279179
2020-04-16,000961,1.285880
2020-04-17,000961,1.287508
2020-04-20,000961,1.299225
2020-04-21,000961,1.303180
2020-04-22,000961,1.311889
2020-04-23,000961,1.325034
2020-04-24,000961,1.330297
2020-04-27,000961,1.335491
2020-04-28,000961,1.338892
2020-04-29,000961,1.342883
2020-04-30,000961,1.360141
2020-05-01,000961,1.365427
2020-05-04,000961,1.383772
2020-05-05,000961,1.394238
2020-05-06,000961,1.409357
2020-05-07,000961,1.410325
2020-05-08,000961,1.416824
2020-05-11,000961,1.432937
2020-05-12,000961,1.433968
2020-05-13,000961,1.451281
2020-05-14,000961,1.469797
2020-05-15,000961,1.470816
2020-05-18,000961,1.481078
2020-05-19,000961,1.491134
2020-05-20,000961,1.510213
2020-05-21,000961,1.512805
2020-05-22,000961,1.531667
2020-05-25,000961,1.548799
2020-05-26,000961,1.566549
2020-05-27,000961,1.581614
2020-05-28,000961,1.596560
2020-05-29,000961,1.605810
2020-06-01,000961,1.621047
2020-06-02,000961,1.644114
2020-06-03,000961,1.646892
2020-06-04,000961,1.663251
2020-06-05,000961,1.683124
2020-06-08,000961,1.694400
2020-06-09,000961,1.718527
2020-06-10,000961,1.720944
2020-06-11,000961,1.735988
2020-06-12,000961,1.739917
2020-06-15,000961,1.764370
2020-06-16,000961,1.784385
2020-06-17,000961,1.804660
2020-06-18,000961,1.808241
2020-06-19,000961,1.824001
2020-06-22,000961,1.836510
2020-06-23,000961,1.854754
2020-06-24,000961,1.866224
2020-06-25,000961,1.894909
2020-06-26,000961,1.922209
2020-06-29,000961,1.950931
2020-06-30,000961,1.957990
2020-07-01,000961,1.985586
2020-07-02,000961,2.003560
2020-07-03,000961,2.028721
2020-07-06,000961,2.038050
2020-07-07,000961,2.054359
2020-07-08,000961,2.059595
2020-07-09,000961,2.084305
2020-07-10,000961,2.115259
2020-07-13,000961,2.126714
2020-07-14,000961,2.132920
2020-07-15,000961,2.156672
2020-07-16,000961,2.180991
2020-07-17,000961,2.206512
2020-07-20,000961,2.219519
2020-07-21,000961,2.249926
2020-07-22,000961,2.259862
2020-07-23,000961,2.271152
2020-07-24,000961,2.281634
2020-07-27,000961,2.315012
2020-07-28,000961,2.321721
2020-07-29,000961,2.345462
2020-07-30,000961,2.377507
2020-07-31,000961,2.408017
2020-08-03,000961,2.417646
2020-08-04,000961,2.439018
2020-08-05,000961,2.443360
2020-08-06,000961,2.477682
2020-08-07,000961,2.499442
2020-08-10,000961,2.536084
